IDCARRITO;DOCUMENTOCLIENTE;IDSUCURSAL;CODIGOBARRAS;CANTIDAD;PRECIOTOTAL;PRECIOUNITARIO;
289;1000288;42;1000000000041;13;139880;10760;226040
289;1000288;42;1000000000191;8;86160;10770;
290;1000289;42;1000000000041;8;86240;10780;237300
290;1000289;42;1000000000191;14;151060;10790;
291;1000290;42;1000000000041;11;118800;10800;205280
291;1000290;42;1000000000191;8;86480;10810;
292;1000291;42;1000000000041;8;86560;10820;205690
292;1000291;42;1000000000191;11;119130;10830;
293;1000292;42;1000000000041;3;32520;10840;86770
293;1000292;42;1000000000191;5;54250;10850;
294;1000293;42;1000000000041;9;97740;10860;173830
294;1000293;42;1000000000191;7;76090;10870;
295;1000294;43;1000000000042;10;108800;10880;152360
295;1000294;43;1000000000192;4;43560;10890;
296;1000295;43;1000000000042;8;87200;10900;163570
296;1000295;43;1000000000192;7;76370;10910;
297;1000296;43;1000000000042;9;98280;10920;120140
297;1000296;43;1000000000192;2;21860;10930;
298;1000297;43;1000000000042;3;32820;10940;175170
298;1000297;43;1000000000192;13;142350;10950;
299;1000298;43;1000000000042;14;153440;10960;219260
299;1000298;43;1000000000192;6;65820;10970;
300;1000299;43;1000000000042;6;65880;10980;197760
300;1000299;43;1000000000192;12;131880;10990;
301;1000300;43;1000000000042;2;22000;11000;132100
301;1000300;43;1000000000192;10;110100;11010;
302;1000301;44;1000000000043;6;66120;11020;220540
302;1000301;44;1000000000193;14;154420;11030;
303;1000302;44;1000000000043;5;55200;11040;143600
303;1000302;44;1000000000193;8;88400;11050;
304;1000303;44;1000000000043;3;33180;11060;132810
304;1000303;44;1000000000193;9;99630;11070;
305;1000304;44;1000000000043;12;132960;11080;288220
305;1000304;44;1000000000193;14;155260;11090;
306;1000305;44;1000000000043;2;22200;11100;133300
306;1000305;44;1000000000193;10;111100;11110;
307;1000306;44;1000000000043;1;11120;11120;155810
307;1000306;44;1000000000193;13;144690;11130;
308;1000307;44;1000000000043;7;77980;11140;211780
308;1000307;44;1000000000193;12;133800;11150;
309;1000308;45;1000000000044;11;122760;11160;200950
309;1000308;45;1000000000194;7;78190;11170;
310;1000309;45;1000000000044;7;78260;11180;123020
310;1000309;45;1000000000194;4;44760;11190;
311;1000310;45;1000000000044;14;156800;11200;313740
311;1000310;45;1000000000194;14;156940;11210;
312;1000311;45;1000000000044;5;56100;11220;123480
312;1000311;45;1000000000194;6;67380;11230;
313;1000312;45;1000000000044;3;33720;11240;134970
313;1000312;45;1000000000194;9;101250;11250;
314;1000313;45;1000000000044;7;78820;11260;180250
314;1000313;45;1000000000194;9;101430;11270;
315;1000314;45;1000000000044;4;45120;11280;78990
315;1000314;45;1000000000194;3;33870;11290;
316;1000315;46;1000000000045;4;45200;11300;135680
316;1000315;46;1000000000195;8;90480;11310;
317;1000316;46;1000000000045;6;67920;11320;124570
317;1000316;46;1000000000195;5;56650;11330;
318;1000317;46;1000000000045;4;45360;11340;102110
318;1000317;46;1000000000195;5;56750;11350;
319;1000318;46;1000000000045;4;45440;11360;159140
319;1000318;46;1000000000195;10;113700;11370;
320;1000319;46;1000000000045;7;79660;11380;148000
320;1000319;46;1000000000195;6;68340;11390;
321;1000320;46;1000000000045;7;79800;11400;182490
321;1000320;46;1000000000195;9;102690;11410;
322;1000321;46;1000000000045;6;68520;11420;182820
322;1000321;46;1000000000195;10;114300;11430;
323;1000322;47;1000000000046;1;11440;11440;137390
323;1000322;47;1000000000196;11;125950;11450;
324;1000323;47;1000000000046;11;126060;11460;149000
324;1000323;47;1000000000196;2;22940;11470;
325;1000324;47;1000000000046;4;45920;11480;160820
325;1000324;47;1000000000196;10;114900;11490;
326;1000325;47;1000000000046;7;80500;11500;230130
326;1000325;47;1000000000196;13;149630;11510;
327;1000326;47;1000000000046;2;23040;11520;172930
327;1000326;47;1000000000196;13;149890;11530;
328;1000327;47;1000000000046;8;92320;11540;207820
328;1000327;47;1000000000196;10;115500;11550;
329;1000328;47;1000000000046;8;92480;11560;138760
329;1000328;47;1000000000196;4;46280;11570;
330;1000329;48;1000000000047;9;104220;11580;220120
330;1000329;48;1000000000197;10;115900;11590;
331;1000330;48;1000000000047;13;150800;11600;243680
331;1000330;48;1000000000197;8;92880;11610;
332;1000331;48;1000000000047;14;162680;11620;302240
332;1000331;48;1000000000197;12;139560;11630;
333;1000332;48;1000000000047;3;34920;11640;174720
333;1000332;48;1000000000197;12;139800;11650;
334;1000333;48;1000000000047;13;151580;11660;209930
334;1000333;48;1000000000197;5;58350;11670;
335;1000334;48;1000000000047;10;116800;11680;245390
335;1000334;48;1000000000197;11;128590;11690;
336;1000335;48;1000000000047;4;46800;11700;187320
336;1000335;48;1000000000197;12;140520;11710;
337;1000336;49;1000000000048;8;93760;11720;140680
337;1000336;49;1000000000198;4;46920;11730;
338;1000337;49;1000000000048;12;140880;11740;246630
338;1000337;49;1000000000198;9;105750;11750;
339;1000338;49;1000000000048;10;117600;11760;188220
339;1000338;49;1000000000198;6;70620;11770;
340;1000339;49;1000000000048;4;47120;11780;117860
340;1000339;49;1000000000198;6;70740;11790;
341;1000340;49;1000000000048;7;82600;11800;153460
341;1000340;49;1000000000198;6;70860;11810;
342;1000341;49;1000000000048;2;23640;11820;177430
342;1000341;49;1000000000198;13;153790;11830;
343;1000342;49;1000000000048;2;23680;11840;118480
343;1000342;49;1000000000198;8;94800;11850;
344;1000343;50;1000000000049;9;106740;11860;166090
344;1000343;50;1000000000199;5;59350;11870;
345;1000344;50;1000000000049;1;11880;11880;142670
345;1000344;50;1000000000199;11;130790;11890;
346;1000345;50;1000000000049;5;59500;11900;107140
346;1000345;50;1000000000199;4;47640;11910;
347;1000346;50;1000000000049;6;71520;11920;226610
347;1000346;50;1000000000199;13;155090;11930;
348;1000347;50;1000000000049;5;59700;11940;83600
348;1000347;50;1000000000199;2;23900;11950;
349;1000348;50;1000000000049;2;23920;11960;191500
349;1000348;50;1000000000199;14;167580;11970;
350;1000349;50;1000000000049;11;131780;11980;263670
350;1000349;50;1000000000199;11;131890;11990;
351;1000350;51;1000000000050;10;120000;12000;168040
351;1000350;51;1000000000200;4;48040;12010;
352;1000351;51;1000000000050;14;168280;12020;240460
352;1000351;51;1000000000200;6;72180;12030;
353;1000352;51;1000000000050;1;12040;12040;96390
353;1000352;51;1000000000200;7;84350;12050;
354;1000353;51;1000000000050;7;84420;12060;168910
354;1000353;51;1000000000200;7;84490;12070;
355;1000354;51;1000000000050;3;36240;12080;205500
355;1000354;51;1000000000200;14;169260;12090;
356;1000355;51;1000000000050;10;121000;12100;266320
356;1000355;51;1000000000200;12;145320;12110;
357;1000356;51;1000000000050;9;109080;12120;181860
357;1000356;51;1000000000200;6;72780;12130;
358;1000357;52;1000000000051;3;36420;12140;133620
358;1000357;52;1000000000201;8;97200;12150;
359;1000358;52;1000000000051;13;158080;12160;255440
359;1000358;52;1000000000201;8;97360;12170;
360;1000359;52;1000000000051;9;109620;12180;121810
360;1000359;52;1000000000201;1;12190;12190;
361;1000360;52;1000000000051;8;97600;12200;207490
361;1000360;52;1000000000201;9;109890;12210;
362;1000361;52;1000000000051;1;12220;12220;48910
362;1000361;52;1000000000201;3;36690;12230;
363;1000362;52;1000000000051;9;110160;12240;232660
363;1000362;52;1000000000201;10;122500;12250;
364;1000363;52;1000000000051;9;110340;12260;122610
364;1000363;52;1000000000201;1;12270;12270;
365;1000364;53;1000000000052;2;24560;12280;184330
365;1000364;53;1000000000202;13;159770;12290;
366;1000365;53;1000000000052;3;36900;12300;184620
366;1000365;53;1000000000202;12;147720;12310;
367;1000366;53;1000000000052;11;135520;12320;160180
367;1000366;53;1000000000202;2;24660;12330;
368;1000367;53;1000000000052;5;61700;12340;135800
368;1000367;53;1000000000202;6;74100;12350;
369;1000368;53;1000000000052;10;123600;12360;284410
369;1000368;53;1000000000202;13;160810;12370;
370;1000369;53;1000000000052;1;12380;12380;111500
370;1000369;53;1000000000202;8;99120;12390;
371;1000370;53;1000000000052;3;37200;12400;161300
371;1000370;53;1000000000202;10;124100;12410;
372;1000371;54;1000000000053;12;149040;12420;161470
372;1000371;54;1000000000203;1;12430;12430;
373;1000372;54;1000000000053;7;87080;12440;224030
373;1000372;54;1000000000203;11;136950;12450;
374;1000373;54;1000000000053;4;49840;12460;124660
374;1000373;54;1000000000203;6;74820;12470;
375;1000374;54;1000000000053;5;62400;12480;112360
375;1000374;54;1000000000203;4;49960;12490;
376;1000375;54;1000000000053;7;87500;12500;112520
376;1000375;54;1000000000203;2;25020;12510;
377;1000376;54;1000000000053;13;162760;12520;263000
377;1000376;54;1000000000203;8;100240;12530;
378;1000377;54;1000000000053;5;62700;12540;112900
378;1000377;54;1000000000203;4;50200;12550;
379;1000378;55;1000000000054;11;138160;12560;163300
379;1000378;55;1000000000204;2;25140;12570;
380;1000379;55;1000000000054;4;50320;12580;62910
380;1000379;55;1000000000204;1;12590;12590;
381;1000380;55;1000000000054;8;100800;12600;138630
381;1000380;55;1000000000204;3;37830;12610;
382;1000381;55;1000000000054;12;151440;12620;328260
382;1000381;55;1000000000204;14;176820;12630;
383;1000382;55;1000000000054;11;139040;12640;265540
383;1000382;55;1000000000204;10;126500;12650;
384;1000383;55;1000000000054;9;113940;12660;215300
384;1000383;55;1000000000204;8;101360;12670;
385;1000384;55;1000000000054;13;164840;12680;266360
385;1000384;55;1000000000204;8;101520;12690;
386;1000385;56;1000000000055;2;25400;12700;177920
386;1000385;56;1000000000205;12;152520;12710;
387;1000386;56;1000000000055;5;63600;12720;241820
387;1000386;56;1000000000205;14;178220;12730;
388;1000387;56;1000000000055;1;12740;12740;63740
388;1000387;56;1000000000205;4;51000;12750;
389;1000388;56;1000000000055;10;127600;12760;153140
389;1000388;56;1000000000205;2;25540;12770;
390;1000389;56;1000000000055;1;12780;12780;179050
390;1000389;56;1000000000205;13;166270;12790;
391;1000390;56;1000000000055;9;115200;12800;204870
391;1000390;56;1000000000205;7;89670;12810;
392;1000391;56;1000000000055;12;153840;12820;166670
392;1000391;56;1000000000205;1;12830;12830;
393;1000392;57;1000000000056;3;38520;12840;77070
393;1000392;57;1000000000206;3;38550;12850;
394;1000393;57;1000000000056;8;102880;12860;167230
394;1000393;57;1000000000206;5;64350;12870;
395;1000394;57;1000000000056;7;90160;12880;219060
395;1000394;57;1000000000206;10;128900;12890;
396;1000395;57;1000000000056;13;167700;12900;309710
396;1000395;57;1000000000206;11;142010;12910;
397;1000396;57;1000000000056;11;142120;12920;167980
397;1000396;57;1000000000206;2;25860;12930;
398;1000397;57;1000000000056;7;90580;12940;168280
398;1000397;57;1000000000206;6;77700;12950;
399;1000398;57;1000000000056;9;116640;12960;194460
399;1000398;57;1000000000206;6;77820;12970;
400;1000399;58;1000000000057;14;181720;12980;363580
400;1000399;58;1000000000207;14;181860;12990;
401;1000400;58;1000000000057;10;130000;13000;286120
401;1000400;58;1000000000207;12;156120;13010;
402;1000401;58;1000000000057;11;143220;13020;273520
402;1000401;58;1000000000207;10;130300;13030;
403;1000402;58;1000000000057;6;78240;13040;182640
403;1000402;58;1000000000207;8;104400;13050;
404;1000403;58;1000000000057;13;169780;13060;339690
404;1000403;58;1000000000207;13;169910;13070;
405;1000404;58;1000000000057;4;52320;13080;130860
405;1000404;58;1000000000207;6;78540;13090;
406;1000405;58;1000000000057;13;170300;13100;288290
406;1000405;58;1000000000207;9;117990;13110;
407;1000406;59;1000000000058;2;26240;13120;183800
407;1000406;59;1000000000208;12;157560;13130;
408;1000407;59;1000000000058;14;183960;13140;289160
408;1000407;59;1000000000208;8;105200;13150;
409;1000408;59;1000000000058;14;184240;13160;250090
409;1000408;59;1000000000208;5;65850;13170;
410;1000409;59;1000000000058;1;13180;13180;79130
410;1000409;59;1000000000208;5;65950;13190;
411;1000410;59;1000000000058;10;132000;13200;290520
411;1000410;59;1000000000208;12;158520;13210;
412;1000411;59;1000000000058;3;39660;13220;198420
412;1000411;59;1000000000208;12;158760;13230;
413;1000412;59;1000000000058;1;13240;13240;105990
413;1000412;59;1000000000208;7;92750;13250;
414;1000413;60;1000000000059;14;185640;13260;238720
414;1000413;60;1000000000209;4;53080;13270;
415;1000414;60;1000000000059;10;132800;13280;252410
415;1000414;60;1000000000209;9;119610;13290;
416;1000415;60;1000000000059;12;159600;13300;292700
416;1000415;60;1000000000209;10;133100;13310;
417;1000416;60;1000000000059;11;146520;13320;226500
417;1000416;60;1000000000209;6;79980;13330;
418;1000417;60;1000000000059;1;13340;13340;66740
418;1000417;60;1000000000209;4;53400;13350;
419;1000418;60;1000000000059;8;106880;13360;227210
419;1000418;60;1000000000209;9;120330;13370;
420;1000419;60;1000000000059;8;107040;13380;120430
420;1000419;60;1000000000209;1;13390;13390;
421;1000420;61;1000000000060;6;80400;13400;241320
421;1000420;61;1000000000210;12;160920;13410;
422;1000421;61;1000000000060;9;120780;13420;268510
422;1000421;61;1000000000210;11;147730;13430;
423;1000422;61;1000000000060;9;120960;13440;201660
423;1000422;61;1000000000210;6;80700;13450;
424;1000423;61;1000000000060;14;188440;13460;269260
424;1000423;61;1000000000210;6;80820;13470;
425;1000424;61;1000000000060;1;13480;13480;94420
425;1000424;61;1000000000210;6;80940;13490;
426;1000425;61;1000000000060;6;81000;13500;256630
426;1000425;61;1000000000210;13;175630;13510;
427;1000426;61;1000000000060;14;189280;13520;270460
427;1000426;61;1000000000210;6;81180;13530;
428;1000427;62;1000000000061;6;81240;13540;203190
428;1000427;62;1000000000211;9;121950;13550;
429;1000428;62;1000000000061;1;13560;13560;40700
429;1000428;62;1000000000211;2;27140;13570;
430;1000429;62;1000000000061;1;13580;13580;54350
430;1000429;62;1000000000211;3;40770;13590;
431;1000430;62;1000000000061;5;68000;13600;244930
431;1000430;62;1000000000211;13;176930;13610;
432;1000431;62;1000000000061;13;177060;13620;326990
432;1000431;62;1000000000211;11;149930;13630;
433;1000432;62;1000000000061;2;27280;13640;191080
433;1000432;62;1000000000211;12;163800;13650;
434;1000433;62;1000000000061;4;54640;13660;164000
434;1000433;62;1000000000211;8;109360;13670;
435;1000434;63;1000000000062;14;191520;13680;314730
435;1000434;63;1000000000212;9;123210;13690;
436;1000435;63;1000000000062;4;54800;13700;191900
436;1000435;63;1000000000212;10;137100;13710;
437;1000436;63;1000000000062;1;13720;13720;151020
437;1000436;63;1000000000212;10;137300;13730;
438;1000437;63;1000000000062;14;192360;13740;384860
438;1000437;63;1000000000212;14;192500;13750;
439;1000438;63;1000000000062;4;55040;13760;192740
439;1000438;63;1000000000212;10;137700;13770;
440;1000439;63;1000000000062;9;124020;13780;261920
440;1000439;63;1000000000212;10;137900;13790;
441;1000440;63;1000000000062;1;13800;13800;27610
441;1000440;63;1000000000212;1;13810;13810;
442;1000441;64;1000000000063;1;13820;13820;41480
442;1000441;64;1000000000213;2;27660;13830;
443;1000442;64;1000000000063;9;124560;13840;193810
443;1000442;64;1000000000213;5;69250;13850;
444;1000443;64;1000000000063;1;13860;13860;97080
444;1000443;64;1000000000213;6;83220;13870;
445;1000444;64;1000000000063;3;41640;13880;124980
445;1000444;64;1000000000213;6;83340;13890;
446;1000445;64;1000000000063;3;41700;13900;139070
446;1000445;64;1000000000213;7;97370;13910;
447;1000446;64;1000000000063;7;97440;13920;153160
447;1000446;64;1000000000213;4;55720;13930;
448;1000447;64;1000000000063;7;97580;13940;111530
448;1000447;64;1000000000213;1;13950;13950;
449;1000448;65;1000000000064;4;55840;13960;223480
449;1000448;65;1000000000214;12;167640;13970;
450;1000449;65;1000000000064;5;69900;13980;125860
450;1000449;65;1000000000214;4;55960;13990;
451;1000450;65;1000000000064;13;182000;14000;224030
451;1000450;65;1000000000214;3;42030;14010;
452;1000451;65;1000000000064;7;98140;14020;280530
452;1000451;65;1000000000214;13;182390;14030;
453;1000452;65;1000000000064;1;14040;14040;154540
453;1000452;65;1000000000214;10;140500;14050;
454;1000453;65;1000000000064;1;14060;14060;98480
454;1000453;65;1000000000214;6;84420;14070;
455;1000454;65;1000000000064;11;154880;14080;281690
455;1000454;65;1000000000214;9;126810;14090;
456;1000455;66;1000000000065;4;56400;14100;225720
456;1000455;66;1000000000215;12;169320;14110;
457;1000456;66;1000000000065;7;98840;14120;127100
457;1000456;66;1000000000215;2;28260;14130;
458;1000457;66;1000000000065;1;14140;14140;169790
458;1000457;66;1000000000215;11;155650;14150;
459;1000458;66;1000000000065;5;70800;14160;84970
459;1000458;66;1000000000215;1;14170;14170;
460;1000459;66;1000000000065;14;198520;14180;269470
460;1000459;66;1000000000215;5;70950;14190;
461;1000460;66;1000000000065;3;42600;14200;127860
461;1000460;66;1000000000215;6;85260;14210;
462;1000461;66;1000000000065;2;28440;14220;227660
462;1000461;66;1000000000215;14;199220;14230;
463;1000462;67;1000000000066;8;113920;14240;156670
463;1000462;67;1000000000216;3;42750;14250;
464;1000463;67;1000000000066;5;71300;14260;228270
464;1000463;67;1000000000216;11;156970;14270;
465;1000464;67;1000000000066;8;114240;14280;242850
465;1000464;67;1000000000216;9;128610;14290;
466;1000465;67;1000000000066;8;114400;14300;171640
466;1000465;67;1000000000216;4;57240;14310;
467;1000466;67;1000000000066;2;28640;14320;143280
467;1000466;67;1000000000216;8;114640;14330;
468;1000467;67;1000000000066;5;71700;14340;172150
468;1000467;67;1000000000216;7;100450;14350;
469;1000468;67;1000000000066;2;28720;14360;229900
469;1000468;67;1000000000216;14;201180;14370;
470;1000469;68;1000000000067;4;57520;14380;258980
470;1000469;68;1000000000217;14;201460;14390;
471;1000470;68;1000000000067;14;201600;14400;302470
471;1000470;68;1000000000217;7;100870;14410;
472;1000471;68;1000000000067;8;115360;14420;259660
472;1000471;68;1000000000217;10;144300;14430;
473;1000472;68;1000000000067;14;202160;14440;259960
473;1000472;68;1000000000217;4;57800;14450;
474;1000473;68;1000000000067;9;130140;14460;231430
474;1000473;68;1000000000217;7;101290;14470;
475;1000474;68;1000000000067;7;101360;14480;144830
475;1000474;68;1000000000217;3;43470;14490;
476;1000475;68;1000000000067;1;14500;14500;72540
476;1000475;68;1000000000217;4;58040;14510;
477;1000476;69;1000000000068;9;130680;14520;145210
477;1000476;69;1000000000218;1;14530;14530;
478;1000477;69;1000000000068;14;203560;14540;349060
478;1000477;69;1000000000218;10;145500;14550;
479;1000478;69;1000000000068;1;14560;14560;174830
479;1000478;69;1000000000218;11;160270;14570;
480;1000479;69;1000000000068;7;102060;14580;189600
480;1000479;69;1000000000218;6;87540;14590;
481;1000480;69;1000000000068;7;102200;14600;233690
481;1000480;69;1000000000218;9;131490;14610;
482;1000481;69;1000000000068;10;146200;14620;263240
482;1000481;69;1000000000218;8;117040;14630;
483;1000482;69;1000000000068;3;43920;14640;131820
483;1000482;69;1000000000218;6;87900;14650;
484;1000483;70;1000000000069;11;161260;14660;205270
484;1000483;70;1000000000219;3;44010;14670;
485;1000484;70;1000000000069;4;58720;14680;73410
485;1000484;70;1000000000219;1;14690;14690;
486;1000485;70;1000000000069;13;191100;14700;205810
486;1000485;70;1000000000219;1;14710;14710;
487;1000486;70;1000000000069;7;103040;14720;161960
487;1000486;70;1000000000219;4;58920;14730;
488;1000487;70;1000000000069;11;162140;14740;353890
488;1000487;70;1000000000219;13;191750;14750;
489;1000488;70;1000000000069;1;14760;14760;118150
489;1000488;70;1000000000219;7;103390;14770;
490;1000489;70;1000000000069;9;133020;14780;251340
490;1000489;70;1000000000219;8;118320;14790;
491;1000490;71;1000000000070;3;44400;14800;118450
491;1000490;71;1000000000220;5;74050;14810;
492;1000491;71;1000000000070;3;44460;14820;207590
492;1000491;71;1000000000220;11;163130;14830;
493;1000492;71;1000000000070;12;178080;14840;371130
493;1000492;71;1000000000220;13;193050;14850;
494;1000493;71;1000000000070;8;118880;14860;148620
494;1000493;71;1000000000220;2;29740;14870;
495;1000494;71;1000000000070;2;29760;14880;74430
495;1000494;71;1000000000220;3;44670;14890;
496;1000495;71;1000000000070;11;163900;14900;223540
496;1000495;71;1000000000220;4;59640;14910;
497;1000496;71;1000000000070;9;134280;14920;164140
497;1000496;71;1000000000220;2;29860;14930;
498;1000497;72;1000000000071;9;134460;14940;239110
498;1000497;72;1000000000221;7;104650;14950;
499;1000498;72;1000000000071;9;134640;14960;239430
499;1000498;72;1000000000221;7;104790;14970;
500;1000499;72;1000000000071;8;119840;14980;299720
500;1000499;72;1000000000221;12;179880;14990;
501;1000500;72;1000000000071;14;210000;15000;360100
501;1000500;72;1000000000221;10;150100;15010;
502;1000501;72;1000000000071;7;105140;15020;135200
502;1000501;72;1000000000221;2;30060;15030;
503;1000502;72;1000000000071;8;120320;15040;210620
503;1000502;72;1000000000221;6;90300;15050;
504;1000503;72;1000000000071;6;90360;15060;225990
504;1000503;72;1000000000221;9;135630;15070;
505;1000504;73;1000000000072;3;45240;15080;60330
505;1000504;73;1000000000222;1;15090;15090;
506;1000505;73;1000000000072;7;105700;15100;211470
506;1000505;73;1000000000222;7;105770;15110;
507;1000506;73;1000000000072;2;30240;15120;90760
507;1000506;73;1000000000222;4;60520;15130;
508;1000507;73;1000000000072;13;196820;15140;287720
508;1000507;73;1000000000222;6;90900;15150;
509;1000508;73;1000000000072;14;212240;15160;394280
509;1000508;73;1000000000222;12;182040;15170;
510;1000509;73;1000000000072;10;151800;15180;182180
510;1000509;73;1000000000222;2;30380;15190;
511;1000510;73;1000000000072;14;212800;15200;364900
511;1000510;73;1000000000222;10;152100;15210;
512;1000511;74;1000000000073;8;121760;15220;334980
512;1000511;74;1000000000223;14;213220;15230;
513;1000512;74;1000000000073;13;198120;15240;228620
513;1000512;74;1000000000223;2;30500;15250;
514;1000513;74;1000000000073;9;137340;15260;183150
514;1000513;74;1000000000223;3;45810;15270;
515;1000514;74;1000000000073;6;91680;15280;290450
515;1000514;74;1000000000223;13;198770;15290;
516;1000515;74;1000000000073;13;198900;15300;367310
516;1000515;74;1000000000223;11;168410;15310;
517;1000516;74;1000000000073;2;30640;15320;76630
517;1000516;74;1000000000223;3;45990;15330;
518;1000517;74;1000000000073;3;46020;15340;260920
518;1000517;74;1000000000223;14;214900;15350;
519;1000518;75;1000000000074;11;168960;15360;184330
519;1000518;75;1000000000224;1;15370;15370;
520;1000519;75;1000000000074;10;153800;15380;276920
520;1000519;75;1000000000224;8;123120;15390;
521;1000520;75;1000000000074;9;138600;15400;292700
521;1000520;75;1000000000224;10;154100;15410;
522;1000521;75;1000000000074;14;215880;15420;431900
522;1000521;75;1000000000224;14;216020;15430;
523;1000522;75;1000000000074;3;46320;15440;200820
523;1000522;75;1000000000224;10;154500;15450;
524;1000523;75;1000000000074;3;46380;15460;108260
524;1000523;75;1000000000224;4;61880;15470;
525;1000524;75;1000000000074;7;108360;15480;201300
525;1000524;75;1000000000224;6;92940;15490;
526;1000525;76;1000000000075;6;93000;15500;108510
526;1000525;76;1000000000225;1;15510;15510;
527;1000526;76;1000000000075;6;93120;15520;217360
527;1000526;76;1000000000225;8;124240;15530;
528;1000527;76;1000000000075;14;217560;15540;419710
528;1000527;76;1000000000225;13;202150;15550;
529;1000528;76;1000000000075;8;124480;15560;311320
529;1000528;76;1000000000225;12;186840;15570;
530;1000529;76;1000000000075;13;202540;15580;280490
530;1000529;76;1000000000225;5;77950;15590;
531;1000530;76;1000000000075;9;140400;15600;312110
531;1000530;76;1000000000225;11;171710;15610;
532;1000531;76;1000000000075;2;31240;15620;140650
532;1000531;76;1000000000225;7;109410;15630;
533;1000532;77;1000000000076;11;172040;15640;265940
533;1000532;77;1000000000226;6;93900;15650;
534;1000533;77;1000000000076;10;156600;15660;234950
534;1000533;77;1000000000226;5;78350;15670;
535;1000534;77;1000000000076;5;78400;15680;94090
535;1000534;77;1000000000226;1;15690;15690;
536;1000535;77;1000000000076;4;62800;15700;94220
536;1000535;77;1000000000226;2;31420;15710;
537;1000536;77;1000000000076;7;110040;15720;125770
537;1000536;77;1000000000226;1;15730;15730;
538;1000537;77;1000000000076;6;94440;15740;188940
538;1000537;77;1000000000226;6;94500;15750;
539;1000538;77;1000000000076;6;94560;15760;157640
539;1000538;77;1000000000226;4;63080;15770;
540;1000539;78;1000000000077;9;142020;15780;363080
540;1000539;78;1000000000227;14;221060;15790;
541;1000540;78;1000000000077;2;31600;15800;142270
541;1000540;78;1000000000227;7;110670;15810;
542;1000541;78;1000000000077;10;158200;15820;348160
542;1000541;78;1000000000227;12;189960;15830;
543;1000542;78;1000000000077;12;190080;15840;316880
543;1000542;78;1000000000227;8;126800;15850;
544;1000543;78;1000000000077;10;158600;15860;269690
544;1000543;78;1000000000227;7;111090;15870;
545;1000544;78;1000000000077;8;127040;15880;349500
545;1000544;78;1000000000227;14;222460;15890;
546;1000545;78;1000000000077;12;190800;15900;365810
546;1000545;78;1000000000227;11;175010;15910;
547;1000546;79;1000000000078;4;63680;15920;286700
547;1000546;79;1000000000228;14;223020;15930;
548;1000547;79;1000000000078;11;175340;15940;302940
548;1000547;79;1000000000228;8;127600;15950;
549;1000548;79;1000000000078;4;63840;15960;239510
549;1000548;79;1000000000228;11;175670;15970;
550;1000549;79;1000000000078;7;111860;15980;175820
550;1000549;79;1000000000228;4;63960;15990;
551;1000550;79;1000000000078;9;144000;16000;288090
551;1000550;79;1000000000228;9;144090;16010;
552;1000551;79;1000000000078;10;160200;16020;240350
552;1000551;79;1000000000228;5;80150;16030;
553;1000552;79;1000000000078;10;160400;16040;288800
553;1000552;79;1000000000228;8;128400;16050;
554;1000553;80;1000000000079;5;80300;16060;241000
554;1000553;80;1000000000229;10;160700;16070;
555;1000554;80;1000000000079;9;144720;16080;305620
555;1000554;80;1000000000229;10;160900;16090;
556;1000555;80;1000000000079;13;209300;16100;338180
556;1000555;80;1000000000229;8;128880;16110;
557;1000556;80;1000000000079;5;80600;16120;161250
557;1000556;80;1000000000229;5;80650;16130;
558;1000557;80;1000000000079;11;177540;16140;371340
558;1000557;80;1000000000229;12;193800;16150;
559;1000558;80;1000000000079;9;145440;16160;161610
559;1000558;80;1000000000229;1;16170;16170;
560;1000559;80;1000000000079;14;226520;16180;453180
560;1000559;80;1000000000229;14;226660;16190;
561;1000560;81;1000000000080;2;32400;16200;129660
561;1000560;81;1000000000230;6;97260;16210;
562;1000561;81;1000000000080;10;162200;16220;227120
562;1000561;81;1000000000230;4;64920;16230;
563;1000562;81;1000000000080;7;113680;16240;129930
563;1000562;81;1000000000230;1;16250;16250;
564;1000563;81;1000000000080;9;146340;16260;276500
564;1000563;81;1000000000230;8;130160;16270;
565;1000564;81;1000000000080;6;97680;16280;309450
565;1000564;81;1000000000230;13;211770;16290;
566;1000565;81;1000000000080;2;32600;16300;48910
566;1000565;81;1000000000230;1;16310;16310;
567;1000566;81;1000000000080;5;81600;16320;244900
567;1000566;81;1000000000230;10;163300;16330;
568;1000567;82;1000000000081;9;147060;16340;375960
568;1000567;82;1000000000231;14;228900;16350;
569;1000568;82;1000000000081;8;130880;16360;163620
569;1000568;82;1000000000231;2;32740;16370;
570;1000569;82;1000000000081;5;81900;16380;294970
570;1000569;82;1000000000231;13;213070;16390;
571;1000570;82;1000000000081;12;196800;16400;213210
571;1000570;82;1000000000231;1;16410;16410;
572;1000571;82;1000000000081;1;16420;16420;147860
572;1000571;82;1000000000231;8;131440;16430;
573;1000572;82;1000000000081;1;16440;16440;230290
573;1000572;82;1000000000231;13;213850;16450;
574;1000573;82;1000000000081;4;65840;16460;131720
574;1000573;82;1000000000231;4;65880;16470;
575;1000574;83;1000000000082;4;65920;16480;82410
575;1000574;83;1000000000232;1;16490;16490;
576;1000575;83;1000000000082;5;82500;16500;280620
576;1000575;83;1000000000232;12;198120;16510;
577;1000576;83;1000000000082;13;214760;16520;313940
577;1000576;83;1000000000232;6;99180;16530;
578;1000577;83;1000000000082;2;33080;16540;215130
578;1000577;83;1000000000232;11;182050;16550;
